,size,phrase
es_gsd-ud-train_10815.graphml,41,"Este cautivador thriller, ambientado en la oscura postguerra española, relata las aventuras de Darman, un inglés que viaja a Madrid con la misión de matar a un topo infiltrado en la organización del clandestino Partido Comunista."
es_gsd-ud-train_813.graphml,35,"Por favor, sé que si Jorge está bien, debe estar trabajando con los tercerinos en labores de rescate, pero necesito saber que está bien y que su familia también lo está."
es_gsd-ud-train_10382.graphml,33,"Pucará, uno de los doce distritos incluidos en la provincia de Jaén en el departamento de Cajamarca, es una ciudad agradable y pacífica, con un clima caliente, subtropical."
es_gsd-ud-train_9276.graphml,44,"El Golpe de estado del 11 de septiembre de 1973, puso término anticipado al período legislativo por medio del Decreto Ley N ° 27, del 21 de septiembre de 1973, el cual disolvió el Congreso Nacional."
es_gsd-ud-train_13971.graphml,9,Moose River se encuentra ubicado en las coordenadas.
es_gsd-ud-train_384.graphml,17,Es la potencia que transforma en conceptos claros y perfectos las impresiones procedentes de los sentidos.
es_gsd-ud-train_6185.graphml,30,"Para la ocasión, Valdés participó en la Primera Conferencia sobre Macroeconomía y Banca Central, junto a Martin Redrado, ex presidente del Banco Central de Argentina."
es_gsd-ud-train_11688.graphml,48,"Ambas ciudades, la castellano - leonesa y la polaca, son candidatas a la Capitalidad Europea de la Cultura en el año 2016, cada una en su respectivo país, y la reunión se dirigía a abrir posibles vías de colaboración, según explicó Preciado."
es_gsd-ud-train_13809.graphml,25,"Y cuenta con un corredor bioceánico Ruta Nacional Número 7, otras dos rutas nacionales 146 y 147 y las provinciales 3 y 20."
es_gsd-ud-train_8604.graphml,33,"Comienza a funcionar, legalmente autorizado por el Ministerio de Educación Nacional, en septiembre de 1947 bajo la dirección de Albino Núñez Domínguez, acompañado por un equipo de experimentados docentes."
es_gsd-ud-train_1922.graphml,39,Se instala un perímetro de huerta en el actual barrio del Carmen y se transforma la antigua área episcopal visigoda para convertirla en un zoco (mercado árabe) vinculado a la residencia del gobernador.
es_gsd-ud-train_13190.graphml,13,Ésta victoria provocó una reacción enaltecedora en Chile hacia el ejército restaurador.
es_gsd-ud-train_5397.graphml,55,"Además, se dan en el mismo la existencia de grandes colonias de lobos marinos de un pelo (Otaria flavescens) y dos pelos (Arctocephalus australis), y varias especies de aves marinas, incluyendo colonias de varias especies de cormoranes (Phalacrocorax atriceps, P. magellanicus y P. gaimardi)."
es_gsd-ud-train_6964.graphml,25,"Zurbarán testificó durante la investigación llevada a cabo sobre Velázquez, lo que le permitió ingresar en la Orden de Santiago como él deseaba."
es_gsd-ud-train_394.graphml,22,Joel Morales es un jugador de fútbol profesional que milita con los Rayados del Monterrey de la Primera División Mexicana.
es_gsd-ud-train_10392.graphml,30,"Lebeuville es una población y comuna francesa, en la región de Lorena, departamento de Meurthe y Mosela, en el distrito de Nancy y cantón de Haroué."
es_gsd-ud-train_13961.graphml,60,"Tras casi 11 años del asesinato que fue perpetrado el viernes 13 de agosto de 1999 en una esquina del Barrio Quinta Paredes en Bogotá por dos hombres en motocicleta de alto cilindraje que se acercaron a la camioneta de Jaime y le propinaron cinco tiros, su familia tomó la decisión de demandar ante la CIDH."
es_gsd-ud-train_9266.graphml,7,Nació en una familia de artesanos.
es_gsd-ud-train_11698.graphml,33,"La piscina recien inaugurada, la única pega por poner alguna es la falta de sombrillas, pero supongo que al estar recien inaugurada son detalles que en breve se solventarán."
es_gsd-ud-train_6195.graphml,58,"Ayer, el parlamento nicaragüense sesionó en la ciudad de San Carlos, capital de la provincia de Río San Juan, donde aprobó por unanimidad una declaración de apoyo al gobierno de Ortega, y la asignación de un presupuesto adicional para los trabajos de dragado y de combate al narcotráfico en la zona."
es_gsd-ud-train_13180.graphml,45,"Mi primer plato fueron 3 o 4 espárragos sacados tal cual de la lata y una loncha de mortadela de adorno y el de mi novio fueron entrantes, es decir una loncha de embutido de mortadela, otra de salami y poco más."
es_gsd-ud-train_5387.graphml,8,Worth se encuentra ubicado en las coordenadas.
es_gsd-ud-train_6974.graphml,11,Estoy de acuerdo solo en parte con el comentario anterior.
es_gsd-ud-train_13819.graphml,21,Esta fue una de las muy pocas veces que el general ateniense escapó a un castigo civil por una derrota.
es_gsd-ud-train_8614.graphml,34,Es particularmente importante de entre todas las cartas la fechada el 22 de mayo en la que en seis puntos argumenta el rechazo a una decisión de la Comisión Directiva de esa Institución;
es_gsd-ud-train_1932.graphml,29,La ubicación no es centrica pero sin embargo en Santiago estas a un paso de todo y desde el hotel en 15 minutos andando llegas al centro.
es_gsd-ud-train_4829.graphml,16,Es por ello que esta aproximación a la intercomunicación de procesos se considera un antipatrón.
es_gsd-ud-train_9423.graphml,62,"La eubalaena (Eubalaena glacialis) fue considerada por los balleneros de Nueva Inglaterra como la más franca para ser cazada (en inglés, right, siendo esas ballenas conocidas como Right whale), ya que flotan cuando mueren y, a menudo, nadan a la vista de la costa, lo que llevó rápidamente a su extinción."
es_gsd-ud-train_8129.graphml,29,"Finalmente, los usurpadores habrían logrado arrancarle al Gobierno del justicialista Walter Barrionuevo una asistencia de 25 mil pesos y un terreno para 500 familias."
es_gsd-ud-train_1796.graphml,22,"-- Anabel Ávalos Zempoalteca, secretaria general de Gobierno del estado de Tlaxcala, renunció esta mañana al cargo."
es_gsd-ud-train_11944.graphml,15,"En el concierto, ante 4.500 personas, interpretaron tres antiguos éxitos de Mecano."
es_gsd-ud-train_4951.graphml,50,"""La vacuna contra el virus de papiloma humano o VPH (HPV, según su sigla en inglés) es esencial en esta etapa porque se coloca a niñas de 11 años, edad en la que, se calcula, aun no tuvieron contacto con el virus."
es_gsd-ud-train_2584.graphml,25,"Nacional -, OFUNAM México City y la Orquesta Sinfónica de Sâo Paulo e Rio deJaneiro, Simfonica Nacional y Filarmonica de Buenos Aires."
es_gsd-ud-train_8051.graphml,11,El municipio de Chester se encuentra ubicado en las coordenadas.
es_gsd-ud-train_3917.graphml,10,Adina lo detiene y confiesa que ella le ama.
es_gsd-ud-train_1786.graphml,12,"La idea era conseguirlos, pero no hay muchas formas."
es_gsd-ud-train_11954.graphml,25,"Bautista bateó tercero para la Liga Americana (y quinto en general), bateando cuatro jonrones y fue eliminado en la primera ronda."
es_gsd-ud-train_9433.graphml,16,Del total de la población el 0 % eran hispanos o latinos de cualquier raza.
es_gsd-ud-train_4839.graphml,42,"Con facciones muy originales y un gran ánimo de juventud, la joven aparecía caminando por las tardes a comprar velas para su lumbre, y fue en una pulpería donde unos hombres le preguntaron: ¿por qué anda sola?"
es_gsd-ud-train_8139.graphml,21,"El diseño tuvo muy en cuenta su inclusión en el paisaje natural, la orientación solar y otros aspectos medioambientales."
es_gsd-ud-train_3907.graphml,24,"El nombre viene de la iglesia de Santa María de la Victoria de Triana, donde Magallanes juró servir al rey Carlos I."
es_gsd-ud-train_4941.graphml,35,"A sugestión de la Editorial accedió a ampliar más su relato y así nació la novela La serpiente de oro, con la cual ganó el primer premio de dicho concurso (1935)."
es_gsd-ud-train_2594.graphml,88,"Por su parte, Adrián Guillermo Aguilar, en el artículo Los asentamientos humanos y el cambio climático en México, escenario futuro de vulnerabilidad regional, destaca que los mayores impactos que se prevén en el área de la salud por el calentamiento generalizado de la atmósfera son: aumento en la mortalidad y en los niveles de desconfort, debido a las altas temperaturas, y un cambio en la distribución de los vectores de varias enfermedades infecciosas, que se desplazarían a latitudes norte."
es_gsd-ud-train_8041.graphml,25,"De este modo, Vidal fue transferido al elenco de Turín para jugar en la Serie A a partir de la temporada 2011-2012."
es_gsd-ud-train_5256.graphml,10,Acuerdan no decir nada a Nikki acerca de esto.
es_gsd-ud-train_13051.graphml,16,"La pintura de plomo es venenosa, así que ha de manejarse con cuidado."
es_gsd-ud-train_11631.graphml,20,"Scott Kelly, vocalista del grupo Neurosis, colabora como vocalista invitado en la canción ""Spectrelight""."
es_gsd-ud-train_2210.graphml,30,"Para cuando el bombardeo real comenzó, habían cavado profundos refugios bajo la superficie y en las laderas de canteras y colinas y allí vivieron y permanecieron durante semanas."
es_gsd-ud-train_14017.graphml,32,"En nuestra constitución se garantiza la protección a la pareja de hecho y al matrimonio, entre heterosexuales, por ahora no hay cabida para regular las asociaciones entre homosexuales."
es_gsd-ud-train_7436.graphml,57,"Como parte de la acumulación de estos residuos en el hígado, se originan los síntomas que suelen estar presentes en estos pacientes, como son las cefaleas, dolores abdominales, desgano, depresión, y picazón en zonas de las lesiones, hipoacusia (pueden estar todos presentes como sólo alguno de ellos)."
es_gsd-ud-train_12423.graphml,21,"En el año 2010 tenía una población de 175 habitantes y una densidad poblacional de 1,9 personas por km²."
es_gsd-ud-train_1002.graphml,9,El primer título fue Strawberry Roan en 1948.
es_gsd-ud-train_4624.graphml,20,"Cada Año que pasa peor, se llena de malotes flipadetes, una pena, hace tiempo estaba genial."
es_gsd-ud-train_13129.graphml,14,"Durante un semestre, él estudió drama jacobino en la Universidad de Oxford."
es_gsd-ud-train_11749.graphml,25,El ingreso por habitante era de 14.355 dólares y alrededor de un 20.90 % de la población estaba bajo el umbral de pobreza nacional.
es_gsd-ud-train_2368.graphml,30,"Los departamentos rionegrinos tienen un mero fin estadístico - censal, por lo que la administración de las localidades es llevada a cabo por municipios y comisiones de fomento."
es_gsd-ud-train_6044.graphml,11,El municipio de Eckles se encuentra ubicado en las coordenadas.
es_gsd-ud-train_245.graphml,35,"Por otro lado, y al haber muerto uno de los dos cónsules anuales, estando el otro fuera de Roma con su ejército, el dictador fue elegido en lugar de nominado."
es_gsd-ud-train_10243.graphml,16,Las evidencias fósiles de China sugieren que las primeras plumas se encontraron en coelurosaurios primitivos.
es_gsd-ud-train_3662.graphml,34,"Iron Fist es una síngle del grupo de Rock And Roll y Heavy metal Motörhead que fue sacado en vinilo de 7 pulgadas en color rojo, azul, transparente y negro."
es_gsd-ud-train_11621.graphml,7,Su manifestación es además muy variada.
es_gsd-ud-train_2200.graphml,28,"No se sabe qué han podido hacerle al niño en esos cinco meses, y nadie más que él ve a Mikal en circunstancias íntimas."
es_gsd-ud-train_14007.graphml,34,"Si Rodríguez Zapatero fuera un auténtico patriota debería liderar, gobernando, las reformas que este país necesita para salir de la crisis, por muy duras y muy impopulares que estas sean."
es_gsd-ud-train_16.graphml,28,"Jaime Lee Curtis debutaría en el cine con veinte años y de la mano de John Carpenter, con la cinta de terror Halloween (1978)."
es_gsd-ud-train_7426.graphml,15,Somos una familia con un niño de 3 años y una niña de 5.
es_gsd-ud-train_5246.graphml,7,El lago es rico en peces.
es_gsd-ud-train_13041.graphml,10,"San Jerónimo la califica de breve, pero útil."
es_gsd-ud-train_6054.graphml,31,"Gente muy amable y dispuesta en vender sus productos, cualquier duda te la resuelven al igual que te explican las propiedades de sus cavas y diferencias entre ellos."
es_gsd-ud-train_11759.graphml,18,"Las hojas de hasta 13 cm de largo, pinnas hasta 12 cm de largo, glabras;"
es_gsd-ud-train_2378.graphml,42,"Al tratarse de productos heterogéneos, cada productor tiene un cierto poder de mercado sobre el bien que produce, por lo que la competencia monopolística puede definirse como una estructura de mercado intermedia entre monopolio y competencia perfecta."
es_gsd-ud-train_10253.graphml,36,"Tras el discurso inaugural de la doctora Lucas se escuchó una disertación de la doctora Isabel Núñez, docente de la Fundación Libra de Buenos Aires, quien desarrolló el tema ""Acceso la Justicia."
es_gsd-ud-train_3672.graphml,20,"Durante su estancia en Suiza (1915-25) se interesó por la música (Musik und Malerei, 1919;"
es_gsd-ud-train_255.graphml,22,"¿Por qué no hacer un cambio, y dar las respuestas a los concursantes y déjerlos enunciar la pregunta?"
es_gsd-ud-train_12433.graphml,36,"Benítez quiere seguir creciendo y habría pedido el fichaje de Kaká a Moratti, Presidente que devolverá la moneda al Milan si es que ficha al brasileño del Real Madrid en Enero."
es_gsd-ud-train_1012.graphml,51,"Tres de las cuatro son perpendiculares hacia la Calle Canal, que cruza Broadway (plataformas principales de la línea Broadway), la Calle Lafayette (plataformas de la línea de la Avenida Lexington) y la Calle Centre (plataformas de la línea de la Calle Nassau)."
es_gsd-ud-train_13139.graphml,32,"Gracías a esta lealtad, tuvo como recompensa el ser elevado al grado de brigadier general y más adelante Secretario de Guerra, cargo que desempeñó desde 1785 hasta 1794."
es_gsd-ud-train_4634.graphml,15,Los castillos hinchables que ponen en comuniones son muy feos y están muy sucios.
es_gsd-ud-train_8809.graphml,37,"Fray Joseph Ortiz y Sanz (Ayelo de Malferit, 5 de septiembre de 1739 -- Valencia, 21 de diciembre de 1822) fue un traductor y estudioso de la Antigüedad Clásica nacido en España."
es_gsd-ud-train_5403.graphml,54,"Boudou evaluó que esta reunión del Mercosur ocurre en un ""muy buen momento para la región"" y agregó que ""si bien muchas veces se pone énfasis en las dificultades que aparecen, que son reales"", hay que apreciar lo que ha significado el bloque para los países."
es_gsd-ud-train_4109.graphml,7,Vive como tutor privado de Sayaka.
es_gsd-ud-train_13604.graphml,26,"En relación con la ocupación de este sitio, no se sabe quien construyó la ciudad originalmente y quien la habitó antes de los caxcanes."
es_gsd-ud-train_2445.graphml,9,Formó la dupla de contención con Manuel Alvarez.
es_gsd-ud-train_11064.graphml,10,También recibió el Premio Príncipe de Asturias en 1982.
es_gsd-ud-train_8190.graphml,32,Las almohadas son incomodisimas y aunque tienen servicio de cambio de almohadas nos dicen que como es fin de semana no está la gobernanta y no saben sí nos podrán dar.
es_gsd-ud-train_6769.graphml,20,Gymnothorax megaspilus es una especie de peces de la familia de los morénidas en el orden de los Anguilliformes.
es_gsd-ud-train_7263.graphml,16,La concesión mediante subasta pública se concede a MZA el 24 de febrero de 1856.
es_gsd-ud-train_4890.graphml,52,"La capilla tiene dos entradas una más ornada con la imagen del Creador sosteniendo la bola del mundo y con adornos góticos y otra por la que se accede al Pabellón del Consulado del año 1549 con el escudo de la ciudad en su parte central,"
es_gsd-ud-train_568.graphml,19,Pero no fue hasta los años 50 del pasado siglo cuando se comenzaron a construir viviendas multifamiliares.
es_gsd-ud-train_1657.graphml,46,"Esta respuesta, aludiendo a criterios técnicos para justificar el cambio de postura del consorcio, ha enervado a la oposición, y Albert Rivera (C 's) ha indicado que CiU trata de confundir sus intereses partidistas con los de toda Catalunya."
es_gsd-ud-train_12276.graphml,9,Cajas de cartón se encontraron en Kong Studios.
es_gsd-ud-train_8971.graphml,28,La hCG es comúnmente usada durante y después de un ciclo de esteroides para mantener y recuperar el tamaño testicular como también la producción natural de testosterona.
es_gsd-ud-train_11885.graphml,20,Ingresó como editor de «Pravda» y destacado miembro de la delegación bolchevique en el consejo de Petrogrado.
es_gsd-ud-train_4071.graphml,29,"El entonces jefe del Estado Mayor General del Ejército, Roberto Viola, aprobó en 1976 el documento denominado 'Instrucciones para operaciones de seguridad'."
es_gsd-ud-train_6611.graphml,19,"El detonante de esta situación llegó con Pablo Herrero, empresario y experto en márketing, como protagonista."
es_gsd-ud-train_3037.graphml,38,"Sin embargo, con frialdad y la simulación de humildad que la caracteriza, se enfrentó con Silvana Suárez al cuestionarle la forma en la que se conducía cuando se estaba divorciando de Julio Ramos."
es_gsd-ud-train_10416.graphml,19,"Tradicionalmente la vida ha sido un concepto abstracto y, por tanto, difuso y de difícil definición."
es_gsd-ud-train_410.graphml,8,Muere el 21 de julio de 1984.
es_gsd-ud-train_6779.graphml,54,"Como el catálogo de la subasta está publicado, fue siempre conocido el contenido, pero se perdió la pista de un número considerable de esos libros, que pasaron a considerarse ""desaparecidos"" en bibliografías, catálogos y bases de datos dedicados al español medieval, clásico y moderno."
es_gsd-ud-train_2455.graphml,7,Don Juan Tenorio (1883);
es_gsd-ud-train_11074.graphml,14,"Todo lo aparecido posteriormente son reediciones de lo ya dibujado, o historietas apócrifas"
es_gsd-ud-train_8180.graphml,26,"Fue también autor, junto con Georges Pitoëff, de una de las traducciones francesas de referencia de Romeo y Julieta, de William Shakespeare."
es_gsd-ud-train_7273.graphml,21,"A la vez que conseguía estos exitos, Williams supervisó la realización de varios albums de ""The Contours""."
es_gsd-ud-train_4880.graphml,6,Bob Costas es la estrella invitada
es_gsd-ud-train_578.graphml,27,EGNOS (Sistema Europeo de Navegación por Complemento Geoestacionario) es el sistema de amplificación de las señales GPS para Europa y el precursor de Galileo.
es_gsd-ud-train_5413.graphml,17,"Dos años más tarde fue nuevamente arrestado, y su casa fue destrozada por la Mazorca."
es_gsd-ud-train_8819.graphml,46,"Conoció y trató al botánico alemán Jakob Friedrich Ehrhart, discípulo de Linneo, y al director del jardín botánico de Hanóver, quien en una excursión de Europa, hizo una parada en Leiden con el fin de ver sus jardines."
es_gsd-ud-train_13614.graphml,31,"Panetta defendió además los ataques aéreos de la CIA en la región, al asegurar que las acusaciones de que Washington viola con ellos la ley internacional son erróneas."
es_gsd-ud-train_4119.graphml,34,"La ciudad creció alrededor de un gran centro ceremonial con pirámides y el área urbana asociada, que incluía plazas y calles bordeando una serie de reservorios de agua pequeños y poco profundos."
es_gsd-ud-train_6601.graphml,27,"También desarrolló el trastero elevado, a petición de Luigi Legnani, el guitarrista y primer intérprete de los conciertos del violinista genovés Niccolò Paganini."
es_gsd-ud-train_400.graphml,28,"Ellos se encargaron abosolutamente de todo, me hicieron el contrato de alquiler y todavía me quedan 10 meses de garantía por si necesito volver a buscar."
es_gsd-ud-train_3027.graphml,29,"Esto permite la creación de una única plantilla de gráficos o fuente de datos, la cual define cualquier gráfico o fuente de datos asociada con esta plantilla."
es_gsd-ud-train_10406.graphml,25,"Nacido en Buenos Aires, dejó los estudios por una carrera deportiva que incluyó la hípica, natación y boxeo, ganando varios trofeos."
es_gsd-ud-train_1647.graphml,20,"Los niños la empezaron a saludar, le llevaban comida a escondidas de sus padres y le regalaban ropa."
es_gsd-ud-train_8961.graphml,18,"Ya en semifinales, eliminaron a Jens Eriksen y Mette Schjoldager de Dinamarca por 15-9, 15-5."
es_gsd-ud-train_12266.graphml,26,"Ellsworth Milton Statler (26 de octubre 1863 a 16 de abril 1928) fue un empresario hotelero estadounidense nacido cerca de Gettysburg, Pennsylvania."
es_gsd-ud-train_11895.graphml,40,"El ion ferrosos es mucho más soluble que el férrico, con lo cual el hierro se moviliza, siendo este un primer paso importante en la formación de un tipo de depósito mineral llamado hierro de los pantanos."
es_gsd-ud-train_4061.graphml,17,"Es un buen servicio postventa, llevo años llevandoles coches y nunca he tenido quejas."
es_gsd-ud-train_7105.graphml,9,"¡Parece exactamente como uno de nosotros!"""
es_gsd-ud-train_10608.graphml,9,Esta zona incluye de Sabaneta y la Tagua.
es_gsd-ud-train_3229.graphml,8,Cleveland se encuentra ubicado en las coordenadas.
es_gsd-ud-train_11302.graphml,27,"Fue Presidente Constitucional de la República del Perú de 1945 a 1948, y presidente de la Corte Internacional de Justicia entre 1967 y 1969."
es_gsd-ud-train_2723.graphml,12,Bolbena hottentotta es una especie de mantis de la familia Iridopterygidae.
es_gsd-ud-train_13562.graphml,14,"Un año más tarde, el libro se edita en Berna en alemán."
es_gsd-ud-train_12068.graphml,24,"Algunos grupos, los ancestros de la gente Nguni (Zulus, Xhosa, Swazi y Ndebele) prefirieron vivir en la costa."
es_gsd-ud-train_1449.graphml,22,"El 25 de marzo de 2011, fue publicada la secuela Crysis 2 para PC, PlayStation 3 y Xbox 360."
es_gsd-ud-train_5765.graphml,76,"En su reciente visita a la ciudad de Santiago de Cali, Samuel Israel, CEO para Latinoamérica de DHL Global Forwarding, anunció que para fortalecer la operación de la compañía en el sur occidente colombiano vienen trabajando en la implementación de una Plataforma Exclusiva de Operaciones en Buenaventura bajo la figura de Depósito de Apoyo Logístico Internacional que permitirá ampliar la capacidad de almacenamiento y brindar un mejor servicio a todos los clientes."
es_gsd-ud-train_9684.graphml,38,"Cazarilh es una población y comuna francesa, situada en la región de Mediodía - Pirineos, departamento de Altos Pirineos, en el distrito de Bagnères - de - Bigorre y cantón de Mauléon - Barousse."
es_gsd-ud-train_10770.graphml,33,"Tras avisarles del error y darles la tarjeta para pagar, tardaron un montón en traerla de vuelta, cosa que no resulta nada agradable, como imaginareis."
es_gsd-ud-train_3351.graphml,23,"Se encuentra situada a una altitud de 94 metros y está a 5 km de la capital de la provincia, Almería."
es_gsd-ud-train_776.graphml,13,¿Que excusa tiene el kirchnerismo para lamer las botas de Timerman?
es_gsd-ud-train_6577.graphml,11,En el envés presentan unas rayas color púrpura - marronáceo.
es_gsd-ud-train_12889.graphml,13,El 31 de diciembre de 2003 finalizan las transmisiones por tv cable.
es_gsd-ud-train_4317.graphml,35,"Anteriormente habían existido diversos intentos de inventarse una bandera que simbolizara en conjunto a las provincias de Álava, Vizcaya y Guipúzcoa pero no fructificaron, como el realizado por Pedro de Soraluce."
es_gsd-ud-train_12110.graphml,38,"Lenchantin abandonó para unirse a la nueva banda de Billy Corgan Zwan en abril de 2002, mientras que Van Leeuwen se marchó para tocar como guitarrista en la gira de Queens of the Stone Age."
es_gsd-ud-train_1531.graphml,8,Las escenas interiores fueron filmadas en Roma.
es_gsd-ud-train_13572.graphml,22,"Tienen los mejores precios de alquiler de coches en aeropuertos, estaciones, etc... ¿Cómo podrán conseguir esos precios?"
es_gsd-ud-train_5775.graphml,18,Al llegar a tierra se hospeda en el hotel Perla donde la recibe Nikora y Madame Taki.
es_gsd-ud-train_12078.graphml,30,"Por ejemplo, si sacamos 3-10-10, volvemos a tirar, si saliera 3-5-7 el total sería 15 (10 de la primera y 5 de la segunda)."
es_gsd-ud-train_1459.graphml,12,"Una talla es una obra de escultura, especialmente en madera."
es_gsd-ud-train_10618.graphml,71,La historia nos muestra que existen Estados que por ser victoriosos en una guerra o tener un enorme poder político militar a menudo no observan los tratados internacionales -- por no haber firmado esos acuerdos en previsión de su política exterior -- y sin embargo no tienen ninguna sanción internacional (por formar parte de los organismos que la debieran efectuar y tener poder de veto en los mismos).
es_gsd-ud-train_3239.graphml,19,¿Podría el ejército permanecer en silencio como si se tratara de un delito cometido por un particular?
