ID,Clasificación,Oración
111,Simple,"Algunos de sus diseños se convirtieron en piezas de los museos más importantes internacionalmente, en Europa, Estado Unidos, y Japón."
112,Simple,"El diseño es mezcla de los estilos arquitectónicos federal, griego y gótico."
113,Compuesta-Compleja,Queipo tenía su cuartel general en Capitanía y venía utilizando para sus conquistas en Andalucía a moros y legionarios que Franco traía de África.
114,Simple,La banda británica The Horrors han versionado la característica 'The Best Thing I Never Had' de la diosa del Ébano y artista pop Beyonce.
115,Compuesta,"Pero no se llegó a un acuerdo y como resultado los países de Europa Occidental, con la excepción de Francia, adoptaron el PAL mientras que los de Europa Oriental y Francia el SECAM."
116,Compleja,Las aguas residuales resultantes del proceso de blanqueado de la pulpa se presentan como una compleja mezcla de distintos compuestos en la que predominan los organoclorados.
117,Compleja,"Está formada por tres franjas horizontales de igual dimensión, la franja superior es de color verde que representa la vegetación y esperanza del municipio, en el extremo izquierdo de la franja aparece el escudo del municipio."
118,Simple,"Fue catedrático en la Universidad de Teherán, en el departamento de filosofía."
119,Compleja,Especialistas en seguridad advirtieron que no son pasajeros comunes ni equipaje corriente lo que viaja a través de la conexión aérea bimestral asegurada por Irán Air entre Irán y Venezuela.
120,Compleja,"Además, los británicos admiraban la fidelidad que el rey profesaba a su esposa, al contrario de sus dos antecesores."
121,Compleja,"Teniendo en cuenta la originalidad de la población norteamericana, puede uno preguntarse sobre el carácter específico del arte del país: ¿existe una arquitectura específicamente estadounidense?"
122,Compleja,"-- Fernando Gago: Pese a sus 24 años ya su buen rendimiento en los últimos partidos de liga, el'' Pintita'' no entra en los planes para la siguiente campaña."
123,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Según la Oficina del Censo, el condado tiene un área total de, de la cual es tierra y es agua."
124,Compuesta,"Después de varios intentos, Beecham finalmente solicitó una patente de protección de EE.UU. para el fármaco en 1981, y las patentes de EE.UU. 4.525.352, 4.529.720, y 4.560.552 fueron concedidas en 1985."
125,Compleja,"Tras finalizar la liga en cuarta posición, y con una brillante actuación en la liguilla de promoción, que termina invicto, el club logra el ascenso en su primer año de vida."
126,Simple,Nunca se verá tu correo.)
127,Compleja,"Con recorrido este -- oeste, la avenida transcurre por varias zonas de Buenos Aires, actuando como límite entre los barrios de Constitución y Monserrat, Balvanera y San Cristóbal y Almagro y Boedo."
128,Compleja,"El gerente creo recordar que se llama Luis, es un experto peluquero, solo hay que ver como deja a los animales, además venden animales con la garantía de ser criadores de varias razas."
129,Compleja,"Se habla sobre todo de las emociones que rodean a los niños, que son los personajes principales."
130,Compuesta,Creó inicialmente esculturas de hierro realistas - principalmente aves - y presentó su primera exposición individual en 1954 en la Galería Martinet de Amsterdam.
131,Compleja,"En el interior hay un altar de adobe y piedra y cuatro imágenes con coronas de plata, además de cuadros cuzqueños en muros, más las imágenes y objetos de un antiguo esplendo como la curiosa águila tallada en madera policromada usada como candelabro."
132,Compuesta-Compleja,En ciertos tipos de armónicas los tonos de las lengüetas pueden variarse a otra nota por soplar o aspirar el aire de un modo especial (mediante la técnica del bending o el overbend / overdraw).
133,Compleja,Gopets es una empresa de Korea así que gran parte de los jugadores hablarán alguna lengua asiática y el inglés.
134,Compuesta-Compleja,"He estado una vez, y aunque no tengo ninguna queja acerca del personal y del servicio, me resultó decepcionante pedir una pizza, concretamente la calzone (forma de croissant) y me encuentro con una pizza inflada de aire y hueca."
135,Compleja,"Anotó su primer gol con los Dragones Celestes el 5 de noviembre del 2011, en un partido del Torneo de Clausura 2011 contra Unión La Calera el cual acabó 2-1 a favor del «cuadro iquiqueño»."
136,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El JKD resalta la noción de que la mejor defensa es una buena ofensiva, por lo tanto el principio de ""interceptar""."
137,Compleja,Esta oportunidad de colaboración surge tras lograr el su segundo puesto en el Concurso para Manhwagas Amateur de Mink en el año 2000.
138,Simple,En 2000 actuó en la película Faust: Love of the Damned.
139,Simple,Batavia se encuentra ubicada en las coordenadas.
140,Simple,"El Condado de las Posadas es un título nobiliario español 1629 a favor de Francisco Antonio Fernández de Córdoba, hijo del I Marqués de Guadalcázar."
141,Compleja,Permaneció en manos bizantinas hasta que los turcos la conquistaron finalmente en 1282.
142,Simple,Es el líder del cártel de la mafia más grande de la ciudad ficticia de Southtown del videojuego Fatal Fury de la compañía SNK Playmore y la saga de juegos de lucha Art of Fighting.
143,Compuesta-Compleja,"El profesor Estafilocóquez, un científico que trabajaba para la T.I.A. y se volvió loco, se ha fugado del sanatorio y ha robado en la sala de los horrores del museo de cera."
144,Compleja,Entonces todas las piedras se fueron furiosamente para abajo sin dejar rastro.
145,Compuesta,El delantero inglés no tiene sitio en el Manchester United y puede venirle muy bien al Schalke 04.
146,Compleja,"La relación de propiedad y agencia es el contrato explícito o implícito que se establece entre dos partes, por el cual se comprometen a cooperar en la realización de una actividad (Jensen y Meckling, 1976)."
147,Compleja,En el transcurso del juego Marth trató de restablecer el Fire Emblem del verdadero poder.
148,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Asimismo, fue introducido también en la Península de Kamchatka (Rusia)."
149,Compuesta-Compleja,"Me cobraron 108 € del deposito de gasolina, me han devuelto 60 después de un viaje de 160km, sale, que el coche consume unos 25litros/100km."
150,Compleja,"Originalmente Latreille en 1825 la describió como Polystes lecheguana, posteriormente el género pasó a denominarse Brachygastra por Perty en 1817, luego Nectarina por Shuck en 1840, y Nectarinia por Sauss en 1853 según el Catálogo de Insectos Hymenopteros de Frederick Smith publicado en 1856."
151,Compuesta-Compleja,"Al salir la empleada doméstica, entró a la casa detrás de ella para toparse con el doctor en la sala de su casa y dispararle tres veces."
152,Simple,Hasta 1945 era parte de Alemania.
153,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Estas obras son realizadas con libros, álbumes de música o periódicos como soporte."
154,Simple,"Tres años después contendió por la gubernatura del estado de Guanajuato, contra el candidato del PRI Ramón Aguirre Velázquez, ex regente del Departamento del Distrito Federal, en el gobierno de Miguel de la Madrid Hurtado entre el 1 de diciembre de 1982 y el 30 de noviembre de 1988."
155,Compleja,"La utilización de sulfato como aceptor de electrones es una habilidad rara, restringida al género Desulfovibrio y algunas especies de Clostridium."
156,Compleja,Tampoco a personas que hayan sufrido trastornos cardiovasculares.
157,Simple,La serie de La Nueva Orden Jedi supuso una revolución.
158,Compuesta-Compleja,"Cantando en español, Joan Báez grabó dos versiones de ""Gracias a la vida"" de la chilena Violeta Parra, una como solista en 1974 en su disco ""Gracias a la vida · y otra con la cantante folklórica argentina Mercedes Sosa, con la que realizó muchas giras por Europa y a la que la unía una gran amistad."
159,Compleja,"Este artículo incorpora material del Diccionario enciclopédico popular ilustrado Salvat de 1906-1914, que se encuentra en el dominio público."
160,Simple,"Al parecer, había un fuerte vínculo con su tripulación."
161,Compleja,Todo debido a la baja densidad de la exosfera.
162,Simple,"Robert M. Latimer, (California, Estados Unidos, 14 de septiembre de 1934 -- 2 de enero de 1998) fue un químico nuclear estadounidense, codescubridor del elemento químico lawrencio (junto a Albert Ghiorso, Torbjørn Sikkeland y Almon E. Larsh)."
163,Compleja,"En el campeonato norirlandés permanecieron todos los clubes de la región, aunque en 1972 el Derry City FC abandonó su esquema para pasar en 1984 a la liga irlandesa."
164,Simple,"San Aleix de Serradell es una ermita románica del pueblo de Serradell, perteneciente al municipio de Conca de Dalt, en la comarca del Pallars Jussà perteneciente a la provincia de Lérida."
165,Compleja,"A la entrada se encuentra una fuente del siglo XVIII que simboliza al río Dora Baltea desembocando en el Po, obra de Ignazio y Filippo Collino."
166,Compleja,El álbum deriva de un deseo por parte tanto de Neil Young como de Stephen Stills de completar lo que habían abandonado en su época de experimentación con Buffalo Springfield.
167,Compleja,"Según la Oficina del Censo de los Estados Unidos, Holt tiene una superficie total de 41.11 km², de la cual 40.6 km² corresponden a tierra firme y (1.25 %) 0.51 km² es agua."
168,Compleja,"En el 62 ° Festival Internacional de Cine de Berlín su primer documental Escuela Normal ganó la mención especial del Premio Caligari, que da un jurado independiente a la mejor película de la exigente sección Fórum."
169,Compleja,"Quizá el más famoso de estos es el Atlantis, construido por la firma Arquitectonica en 1982, el edificio es famoso por dedicar cinco plantas (de 20 en total) del centro a una zona común con palmera y piscina incluida."
170,Compleja,"Anna Marie es hija de Priscilla y Owen, dos jóvenes que vivían en una comunidad hippie."
171,Compuesta,"Corre el año 1967, y Ferrari y Ford disfrutan de una dura rivalidad en las carreras de Sport - prototipos."
172,Compleja,Éste último abandonó el proyecto antes de que el álbum fuera editado en el estudio.
173,Compuesta-Compleja,"La escena ""Enfin, il est en ma puissance"", es un manifiesto de que lo ""maravilloso"" no era lo único que el espectáculo operístico añadía a la tragedia y de que lo sublime puede ser conseguido a través de las inflexiones de la voz y sin necesidad de aparato visual: el movimiento escénico es nulo hasta que el dilema interno de Armida se resuelve y vuelve en sí para invocar a sus secuaces en un aria estrófica (""Venez, venez, secondez mes désirs""), quienes se llevan a Reinaldo a su palacio."
174,Compleja,"Rouge incluso guardó a Ace en su vientre durante 20 meses, para que el Gobierno Mundial ignorase que era hijo de Roger."
175,Simple,"Según sus seguidores, el término sánscrito swāsthya significa autosuficiencia, salud, bienestar, confort, satisfacción."
176,Compleja,"En 997 murió el emir buyida Fajar ad - Dawla Ali, lo que permitió a Baha ad - Dawla Firuz reforzar su posición en Fars."
177,Indeterminada (múltiples verbos sin subordinación/coordinación clara),La tercera será de la bandera de la Comunitat Valenciana y es una opción bonita.
178,Compleja,"Se dice que por primera vez se observaron en la ciudad de Magnesia del Meandro en Asia Menor, de ahí el término magnetismo."
179,Compuesta-Compleja,"Nacido en la localidad mexicana de Torreón, se trasladó a los tres años de edad a España con sus padres y creció en un pueblo jornalero de Extremadura, Llerena, en la provincia de Badajoz."
180,Compleja,"Su puesto en el ejército no era compatible con la conversión al cristianismo, ya que esto significaba un abierto desafío a la autoridad del emperador."
181,Simple,En 1945 apareció como bailarina en la película musical The Blonde From Brooklyn.
182,Simple,La duración de cada juego es corta.
183,Simple,Son animales de hábitos nocturnos o crepusculares.
184,Compuesta,"En 1949 se graduó en Derecho y se doctoró en Ciencias Políticas en la Universidad Central de Venezuela, en Caracas."
185,Compleja,"Zimmerbach es una localidad y comuna francesa, situada en el departamento de Alto Rin, en la región de Alsacia."
186,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"«Press» fue publicado en dos formatos en el Reino Unido: dos versiones de vinilo de 7 pulgadas, una versión abatible de 10 ""y dos versiones de 12""."
187,Simple,"Después de una semana muy agitada - y hasta traumática - para el oficialismo porteño, Mauricio Macri se presentará hoy a las 14 en el Club 17 de agosto, en Villa Pueyrredón."
188,Compleja,"El Jardín Japonés Nishinomiya (en inglés: Nishinomiya Japanese Garden) es un jardín japonés tradicional de 5.5 acres (22,000 m²) de extensión, en el Parque Manito y Jardín Botánico, ubicado en Spokane (Washington), Estados Unidos."
189,Compleja,"Se seleccionaron 2.000 bueyes de entre el ganado capturado, junto con 2.000 no combatientes que guiaran al ganado y 2.000 soldados de infantería que guardasen al grupo."
190,Compleja,"Genera Plantarum Florae Germanicae, (abreviado Gen. Fl."
191,Simple,El municipio de Webster se encuentra ubicado en las coordenadas.
192,Simple,A principio de los 80 los Wild Samoans se integraron a la World Wide Wrestling Federation (WWWF).
193,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"El H8 fue similar a los equipos de bus S - 100 de la época, y como otras máquinas utilizaba el sistema operativo CP / M en disquete."
194,Compleja,"Algunos tormentosos, otros no tanto, y como todas las lluvias caídas en primavera, más exactamente, en el mes de abril, la mayoría de las veces de forma esporádica, alternándose con las salidas de sol cuando las nubes están viajeras y al mismo tiempo con temperaturas sofocantes."
195,Compuesta-Compleja,"En 1942, huyó de su casa en Meudon escapando de la ocupación alemana y vivió en Zurich hasta el final de la guerra."
196,Compleja,"Ser identificado como el redactor de una sátira presentaba grandes riesgos: por un lado, las leyes sobre difamación tenían una interpretación muy amplia y era difícil para el autor evitar las actuaciones judiciales si se establecía quien era el autor de un texto que parecía criticar a un miembro de la nobleza;"
197,Compleja,"El verano de 2006, rechazando ofertas de la liga estadounidense, renovó un año más con el Albacete."
